DateTime,Motor - DS
8/8/2022 10:17,0.006
8/8/2022 11:17,0.0069
8/8/2022 12:17,0.0265
8/8/2022 13:17,0.0074
8/8/2022 14:17,0.0071
8/8/2022 15:17,0.0069
8/8/2022 16:17,0.4705
8/8/2022 17:17,0.0077
8/8/2022 18:17,0.0076
8/8/2022 19:17,0.0073
8/8/2022 20:17,0.0071
8/8/2022 21:17,0.0074
8/8/2022 22:17,0.0074
8/8/2022 23:17,0.0072
8/9/2022 0:17,0.007
8/9/2022 1:17,0.0073
8/9/2022 2:17,0.0072
8/9/2022 3:17,0.0073
8/9/2022 4:17,0.0072
8/9/2022 5:17,0.0071
8/9/2022 6:17,0.007
8/9/2022 7:17,0.0072
8/9/2022 8:17,0.007
8/9/2022 9:17,0.0069
8/9/2022 10:17,0.007
8/9/2022 11:17,0.0071
8/9/2022 12:17,0.0071
8/9/2022 13:17,0.0073
8/9/2022 14:17,0.0073
8/9/2022 15:17,0.007
8/9/2022 16:17,0.0073
8/9/2022 17:17,0.0069
8/9/2022 18:17,0.0071
8/9/2022 19:17,0.0075
8/9/2022 20:17,0.0074
8/9/2022 21:17,0.0076
8/9/2022 22:17,0.0074
8/9/2022 23:17,0.0071
8/10/2022 0:17,0.0073
8/10/2022 1:17,0.0074
8/10/2022 2:17,0.0077
8/10/2022 3:17,0.0073
8/10/2022 4:17,0.0072
8/10/2022 5:17,0.0073
8/10/2022 6:17,0.0072
8/10/2022 7:17,0.0069
8/10/2022 8:17,0.0074
8/10/2022 9:17,0.0072
8/10/2022 10:17,0.007
8/10/2022 11:17,0.0071
8/10/2022 12:17,0.007
8/10/2022 13:17,0.0071
8/10/2022 14:17,0.0073
8/10/2022 15:17,0.0073
8/10/2022 16:17,0.0068
8/10/2022 17:17,0.0073
8/10/2022 18:17,0.007
8/10/2022 19:17,0.0071
8/10/2022 20:17,0.0072
8/10/2022 21:17,0.0071
8/10/2022 22:17,0.0073
8/10/2022 23:17,0.0071
8/11/2022 0:17,0.0073
8/11/2022 1:17,0.0068
8/11/2022 3:17,0.0073
8/11/2022 4:17,0.007
8/11/2022 5:17,0.007
8/11/2022 6:17,0.0071
8/11/2022 7:17,0.0069
8/11/2022 8:17,0.0073
8/11/2022 9:17,0.0069
8/11/2022 10:17,0.007
8/11/2022 11:17,0.007
8/11/2022 12:17,0.0068
8/11/2022 13:17,0.0068
8/11/2022 14:17,0.0068
8/11/2022 15:17,0.0067
8/11/2022 16:17,0.007
8/11/2022 17:17,0.0068
8/11/2022 18:17,0.0068
8/11/2022 19:17,0.0072
8/11/2022 20:17,0.007
8/11/2022 21:17,0.0072
8/11/2022 22:17,0.007
8/11/2022 23:17,0.0072
8/12/2022 0:17,0.0073
8/12/2022 1:17,0.0074
8/12/2022 2:17,0.0072
8/12/2022 3:17,0.007
8/12/2022 4:17,0.0072
8/12/2022 5:17,0.0074
8/12/2022 6:17,0.0074
8/12/2022 7:17,0.0071
8/12/2022 8:17,0.0072
8/12/2022 9:17,0.0071
8/12/2022 10:17,0.0071
8/12/2022 11:17,0.0073
8/12/2022 12:17,0.0071
8/12/2022 13:17,0.0071
8/12/2022 14:17,0.007
8/12/2022 15:17,0.007
8/12/2022 16:17,0.0073
8/12/2022 17:17,0.007
8/12/2022 18:17,0.0071
8/12/2022 19:17,0.007
8/12/2022 20:17,0.007
8/12/2022 22:17,0.0072
8/12/2022 23:17,0.0069
8/13/2022 0:17,0.007
8/13/2022 1:17,0.0069
8/13/2022 2:17,0.0069
8/13/2022 3:17,0.0069
8/13/2022 4:17,0.007
8/13/2022 5:17,0.0072
8/13/2022 6:17,0.0069
8/13/2022 7:17,0.0069
8/13/2022 8:17,0.0071
8/13/2022 9:17,0.0072
8/13/2022 10:17,0.007
8/13/2022 11:17,0.007
8/13/2022 12:17,0.007
8/13/2022 13:17,0.0073
8/13/2022 14:17,0.007
8/13/2022 15:17,0.0069
8/13/2022 16:17,0.007
8/13/2022 17:17,0.0069
8/13/2022 18:17,0.0073
8/13/2022 19:17,0.0073
8/13/2022 20:17,0.0069
8/13/2022 21:17,0.0069
8/13/2022 22:17,0.007
8/13/2022 23:17,0.0069
8/14/2022 0:17,0.007
8/14/2022 1:17,0.0069
8/14/2022 2:17,0.0073
8/14/2022 3:17,0.0074
8/14/2022 4:17,0.0074
8/14/2022 5:17,0.0073
8/14/2022 6:17,0.0072
8/14/2022 7:17,0.007
8/14/2022 8:17,0.007
8/14/2022 9:17,0.0069
8/14/2022 10:17,0.0251
8/14/2022 11:17,0.0252
8/14/2022 12:17,0.0068
8/14/2022 13:17,0.0069
8/14/2022 14:17,0.0068
8/14/2022 15:17,0.9145
8/14/2022 16:17,1.0878
8/14/2022 17:17,1.1459
8/14/2022 18:17,1.1391
8/14/2022 19:17,0.0071
8/14/2022 20:17,0.0068
8/14/2022 21:17,0.007
8/14/2022 22:17,0.007
8/14/2022 23:17,0.007
8/15/2022 0:17,0.007
8/15/2022 1:17,0.0249
8/15/2022 2:17,0.0247
8/15/2022 3:17,0.0255
8/15/2022 4:17,0.0259
8/15/2022 5:17,0.0249
8/15/2022 6:17,0.0259
8/15/2022 7:17,0.026
8/15/2022 8:17,0.0262
8/15/2022 9:17,0.0263
8/15/2022 10:17,0.0265
8/15/2022 11:17,0.0265
8/15/2022 12:17,0.0263
8/15/2022 13:17,0.0264
8/15/2022 14:17,0.0262
8/15/2022 15:17,0.0263
8/15/2022 16:17,0.0266
8/15/2022 17:17,0.0266
8/15/2022 18:17,0.0268
8/15/2022 19:17,0.0267
8/15/2022 20:17,0.0267
8/15/2022 21:17,0.027
8/15/2022 22:17,0.0269
8/15/2022 23:17,0.0271
8/16/2022 0:17,0.0273
8/16/2022 1:17,0.0272
8/16/2022 2:17,0.0273
8/16/2022 3:17,0.0273
8/16/2022 4:17,0.0272
8/16/2022 5:17,0.0269
8/16/2022 6:17,0.0271
8/16/2022 7:17,0.0274
8/16/2022 8:17,0.0272
8/16/2022 9:17,0.0269
8/16/2022 10:17,0.0273
8/16/2022 11:17,0.0271
8/16/2022 12:17,0.027
8/16/2022 13:17,0.007
8/16/2022 14:17,0.0073
8/16/2022 15:17,0.0258
8/16/2022 16:17,0.025
8/16/2022 17:17,0.0262
8/16/2022 18:17,0.0072
8/16/2022 19:17,0.0072
8/16/2022 20:17,0.0072
8/16/2022 21:17,0.007
8/16/2022 22:17,0.0074
8/16/2022 23:17,0.0073
8/17/2022 0:17,0.007
8/17/2022 1:17,0.0073
8/17/2022 2:17,0.0071
8/17/2022 3:17,0.0073
8/17/2022 4:17,0.0071
8/17/2022 5:17,0.0072
8/17/2022 6:17,0.007
8/17/2022 7:17,0.8819
8/17/2022 8:17,0.994
8/17/2022 9:17,1.0935
8/17/2022 10:17,1.129
8/17/2022 11:17,0.0073
8/17/2022 13:17,0.0071
8/17/2022 14:17,0.0073
8/17/2022 15:17,0.0272
8/17/2022 16:17,0.0071
8/17/2022 17:17,0.0073
8/17/2022 18:17,0.0071
8/17/2022 19:17,0.0072
8/17/2022 20:17,0.0072
8/17/2022 21:17,0.0073
8/17/2022 22:17,0.0075
8/17/2022 23:17,0.0265
8/18/2022 0:17,0.0072
8/18/2022 1:17,0.0072
8/18/2022 2:17,0.0072
8/18/2022 3:17,0.0068
8/18/2022 4:17,0.0071
8/18/2022 5:17,0.0072
8/18/2022 6:17,0.007
8/18/2022 7:17,0.0074
8/18/2022 8:17,0.0071
8/18/2022 9:17,0.0071
8/18/2022 10:17,0.0073
8/18/2022 11:17,0.0071
8/18/2022 12:17,0.007
8/18/2022 13:17,0.0071
8/18/2022 14:17,0.0071
8/18/2022 15:17,0.007
8/18/2022 16:17,0.0074
8/18/2022 17:17,0.0072
8/18/2022 18:17,0.0071
8/18/2022 19:17,0.0072
8/18/2022 20:17,0.007
8/18/2022 21:17,0.0073
8/18/2022 22:17,0.0072
8/18/2022 23:17,0.0072
8/19/2022 0:17,0.879
8/19/2022 1:17,0.9902
8/19/2022 2:17,1.0925
8/19/2022 3:17,1.1232
8/19/2022 4:17,1.1992
8/19/2022 5:17,1.1747
8/19/2022 6:17,1.175
8/19/2022 7:17,1.1813
8/19/2022 8:17,1.1861
8/19/2022 9:17,1.163
8/19/2022 10:17,1.1644
8/19/2022 11:17,1.1701
8/19/2022 12:17,1.1833
8/19/2022 13:17,1.1591
8/19/2022 14:17,1.1746
8/19/2022 15:17,1.1734
8/19/2022 16:17,1.1753
8/19/2022 17:17,1.21
8/19/2022 18:17,1.1627
8/19/2022 19:17,1.2173
8/19/2022 20:17,1.2038
8/19/2022 21:17,1.1838
8/19/2022 22:17,1.2081
8/19/2022 23:17,1.2182
8/20/2022 0:17,1.1857
8/20/2022 1:17,1.1683
8/20/2022 2:17,1.2051
8/20/2022 3:17,1.1921
8/20/2022 4:17,1.1868
8/20/2022 5:17,1.1611
8/20/2022 6:17,1.2025
8/20/2022 7:17,1.1785
8/20/2022 8:17,1.1863
8/20/2022 9:17,1.1902
8/20/2022 10:17,1.1643
8/20/2022 12:17,1.1626
8/20/2022 13:17,1.1623
8/20/2022 14:17,1.215
8/20/2022 15:17,1.1667
8/20/2022 16:17,1.1239
8/20/2022 17:17,1.1388
8/20/2022 18:17,1.1674
8/20/2022 19:17,1.1016
8/20/2022 20:17,1.1704
8/20/2022 21:17,1.1578
8/20/2022 22:17,1.1417
8/20/2022 23:17,1.1034
8/21/2022 0:17,1.1486
8/21/2022 1:17,1.1618
8/21/2022 2:17,1.164
8/21/2022 3:17,1.1326
8/21/2022 4:17,1.1224
8/21/2022 5:17,1.1846
8/21/2022 6:17,1.162
8/21/2022 7:17,1.1175
8/21/2022 8:17,1.1265
8/21/2022 9:17,1.1349
8/21/2022 10:17,1.1319
8/21/2022 11:17,1.1383
8/21/2022 12:17,1.1188
8/21/2022 13:17,1.0832
8/21/2022 14:17,1.1138
8/21/2022 15:17,1.0756
8/21/2022 16:17,1.0939
8/21/2022 17:17,1.1288
8/21/2022 18:17,1.1321
8/21/2022 19:17,1.1144
8/21/2022 21:17,1.1413
8/21/2022 22:17,1.1387
8/21/2022 23:17,1.1747
8/22/2022 0:17,1.101
8/22/2022 1:17,1.113
8/22/2022 2:17,1.1287
8/22/2022 3:17,1.1323
8/22/2022 4:17,1.0887
8/22/2022 5:17,1.1423
8/22/2022 6:17,1.131
8/22/2022 7:17,1.1374
8/22/2022 8:17,1.136
